"Jahr","Alter","Geschlecht","value"
"1949","81 Jahre","Frau",4982
"1950","81 Jahre","Frau",5389
"1951","81 Jahre","Frau",5777
"1952","81 Jahre","Frau",5676
"1953","81 Jahre","Frau",6370
"1954","81 Jahre","Frau",6391
"1955","81 Jahre","Frau",6628
"1956","81 Jahre","Frau",7424
"1957","81 Jahre","Frau",7431
"1958","81 Jahre","Frau",7807
"1959","81 Jahre","Frau",7959
"1960","81 Jahre","Frau",8057
"1961","81 Jahre","Frau",8353
"1962","81 Jahre","Frau",8463
"1963","81 Jahre","Frau",8801
"1964","81 Jahre","Frau",8819
"1965","81 Jahre","Frau",9120
"1966","81 Jahre","Frau",9306
"1967","81 Jahre","Frau",9574
"1968","81 Jahre","Frau",9791
"1969","81 Jahre","Frau",10243
"1970","81 Jahre","Frau",10511
"1971","81 Jahre","Frau",10468
"1972","81 Jahre","Frau",11497
"1973","81 Jahre","Frau",11689
"1974","81 Jahre","Frau",12511
"1975","81 Jahre","Frau",12830
"1976","81 Jahre","Frau",13223
"1977","81 Jahre","Frau",14302
"1978","81 Jahre","Frau",14545
"1979","81 Jahre","Frau",15416
"1980","81 Jahre","Frau",16216
"1981","81 Jahre","Frau",16804
"1982","81 Jahre","Frau",17674
"1983","81 Jahre","Frau",17887
"1984","81 Jahre","Frau",17811
"1985","81 Jahre","Frau",18699
"1986","81 Jahre","Frau",19414
"1987","81 Jahre","Frau",19699
"1988","81 Jahre","Frau",20217
"1989","81 Jahre","Frau",21363
"1990","81 Jahre","Frau",20838
"1991","81 Jahre","Frau",21532
"1992","81 Jahre","Frau",21289
"1993","81 Jahre","Frau",21769
"1994","81 Jahre","Frau",21480
"1995","81 Jahre","Frau",21483
"1996","81 Jahre","Frau",19522
"1997","81 Jahre","Frau",19109
"1998","81 Jahre","Frau",18968
"1999","81 Jahre","Frau",19092
"2000","81 Jahre","Frau",19826
"2001","81 Jahre","Frau",23381
"2002","81 Jahre","Frau",24365
"2003","81 Jahre","Frau",23440
"2004","81 Jahre","Frau",24051
"2005","81 Jahre","Frau",24464
"2006","81 Jahre","Frau",24656
"2007","81 Jahre","Frau",24868
"2008","81 Jahre","Frau",24461
"2009","81 Jahre","Frau",25041
"2010","81 Jahre","Frau",25403
"2011","81 Jahre","Frau",26040
"2012","81 Jahre","Frau",25503
"2013","81 Jahre","Frau",25929
"2014","81 Jahre","Frau",26003
"2015","81 Jahre","Frau",26397
"2016","81 Jahre","Frau",26717
"2017","81 Jahre","Frau",26753
"2018","81 Jahre","Frau",26414
"2019","81 Jahre","Frau",27221
"2020","81 Jahre","Frau",27809
"2021","81 Jahre","Frau",28362
"2022","81 Jahre","Frau",30195
"1860","82 Jahre","Frau",856
"1861","82 Jahre","Frau",863
"1862","82 Jahre","Frau",871
"1863","82 Jahre","Frau",878
"1864","82 Jahre","Frau",886
"1865","82 Jahre","Frau",894
"1866","82 Jahre","Frau",901
"1867","82 Jahre","Frau",909
"1868","82 Jahre","Frau",916
"1869","82 Jahre","Frau",924
"1870","82 Jahre","Frau",932
"1871","82 Jahre","Frau",939
"1872","82 Jahre","Frau",947
"1873","82 Jahre","Frau",955
"1874","82 Jahre","Frau",963
"1875","82 Jahre","Frau",971
"1876","82 Jahre","Frau",978
"1877","82 Jahre","Frau",986
"1878","82 Jahre","Frau",994
"1879","82 Jahre","Frau",1002
"1880","82 Jahre","Frau",1010
"1881","82 Jahre","Frau",1019
"1882","82 Jahre","Frau",1028
"1883","82 Jahre","Frau",1037
"1884","82 Jahre","Frau",1046
"1885","82 Jahre","Frau",1055
"1886","82 Jahre","Frau",1064
"1887","82 Jahre","Frau",1073
"1888","82 Jahre","Frau",1082
"1889","82 Jahre","Frau",1091
"1890","82 Jahre","Frau",1101
"1891","82 Jahre","Frau",1076
"1892","82 Jahre","Frau",1177
"1893","82 Jahre","Frau",1171
"1894","82 Jahre","Frau",1098
"1895","82 Jahre","Frau",1152
"1896","82 Jahre","Frau",1165
"1897","82 Jahre","Frau",1176
"1898","82 Jahre","Frau",1267
"1899","82 Jahre","Frau",1348
"1900","82 Jahre","Frau",1421
"1901","82 Jahre","Frau",1407
"1902","82 Jahre","Frau",1406
"1903","82 Jahre","Frau",1456
"1904","82 Jahre","Frau",1527
"1905","82 Jahre","Frau",1590
"1906","82 Jahre","Frau",1613
"1907","82 Jahre","Frau",1634
"1908","82 Jahre","Frau",1627
"1909","82 Jahre","Frau",1675
"1910","82 Jahre","Frau",1777
"1911","82 Jahre","Frau",1705
"1912","82 Jahre","Frau",1733
"1913","82 Jahre","Frau",1810
"1914","82 Jahre","Frau",1848
"1915","82 Jahre","Frau",1935
"1916","82 Jahre","Frau",1942
"1917","82 Jahre","Frau",1975
"1918","82 Jahre","Frau",2030
"1919","82 Jahre","Frau",2057
"1920","82 Jahre","Frau",2179
"1921","82 Jahre","Frau",2190
"1922","82 Jahre","Frau",2080
"1923","82 Jahre","Frau",2226
"1924","82 Jahre","Frau",2240
"1925","82 Jahre","Frau",2397
"1926","82 Jahre","Frau",2357
"1927","82 Jahre","Frau",2305
"1928","82 Jahre","Frau",2370
"1929","82 Jahre","Frau",2401
"1930","82 Jahre","Frau",2509
"1931","82 Jahre","Frau",2473
"1932","82 Jahre","Frau",2373
"1933","82 Jahre","Frau",2492
"1934","82 Jahre","Frau",2563
"1935","82 Jahre","Frau",2675
"1936","82 Jahre","Frau",2836
"1937","82 Jahre","Frau",2963
"1938","82 Jahre","Frau",3028
"1939","82 Jahre","Frau",3185
"1940","82 Jahre","Frau",3331
"1941","82 Jahre","Frau",3549
"1942","82 Jahre","Frau",3637
"1943","82 Jahre","Frau",3713
"1944","82 Jahre","Frau",3804
"1945","82 Jahre","Frau",4177
"1946","82 Jahre","Frau",4249
"1947","82 Jahre","Frau",4449
"1948","82 Jahre","Frau",4531
"1949","82 Jahre","Frau",4442
"1950","82 Jahre","Frau",4362
"1951","82 Jahre","Frau",4726
"1952","82 Jahre","Frau",5100
"1953","82 Jahre","Frau",4973
"1954","82 Jahre","Frau",5602
"1955","82 Jahre","Frau",5638
"1956","82 Jahre","Frau",5785
"1957","82 Jahre","Frau",6641
"1958","82 Jahre","Frau",6593
"1959","82 Jahre","Frau",6946
"1960","82 Jahre","Frau",7078
"1961","82 Jahre","Frau",7258
"1962","82 Jahre","Frau",7454
"1963","82 Jahre","Frau",7503
"1964","82 Jahre","Frau",7895
"1965","82 Jahre","Frau",7869
"1966","82 Jahre","Frau",8116
"1967","82 Jahre","Frau",8320
"1968","82 Jahre","Frau",8621
"1969","82 Jahre","Frau",8787
"1970","82 Jahre","Frau",9234
"1971","82 Jahre","Frau",9512
"1972","82 Jahre","Frau",9573
"1973","82 Jahre","Frau",10496
"1974","82 Jahre","Frau",10663
"1975","82 Jahre","Frau",11507
"1976","82 Jahre","Frau",11819
"1977","82 Jahre","Frau",12175
"1978","82 Jahre","Frau",13138
"1979","82 Jahre","Frau",13509
"1980","82 Jahre","Frau",14291
"1981","82 Jahre","Frau",14980
"1982","82 Jahre","Frau",15596
"1983","82 Jahre","Frau",16327
"1984","82 Jahre","Frau",16708
"1985","82 Jahre","Frau",16581
"1986","82 Jahre","Frau",17519
"1987","82 Jahre","Frau",18152
"1988","82 Jahre","Frau",18414
"1989","82 Jahre","Frau",18970
"1990","82 Jahre","Frau",20120
"1991","82 Jahre","Frau",19651
"1992","82 Jahre","Frau",20221
"1993","82 Jahre","Frau",20099
"1994","82 Jahre","Frau",20584
"1995","82 Jahre","Frau",20294
"1996","82 Jahre","Frau",20323
"1997","82 Jahre","Frau",18456
"1998","82 Jahre","Frau",18139
"1999","82 Jahre","Frau",18022
"2000","82 Jahre","Frau",18047
"2001","82 Jahre","Frau",19068
"2002","82 Jahre","Frau",22192
"2003","82 Jahre","Frau",23202
"2004","82 Jahre","Frau",22394
"2005","82 Jahre","Frau",22956
"2006","82 Jahre","Frau",23478
"2007","82 Jahre","Frau",23538
"2008","82 Jahre","Frau",23822
"2009","82 Jahre","Frau",23462
"2010","82 Jahre","Frau",23912
"2011","82 Jahre","Frau",24433
"2012","82 Jahre","Frau",25003
"2013","82 Jahre","Frau",24497
"2014","82 Jahre","Frau",24936
"2015","82 Jahre","Frau",25060
"2016","82 Jahre","Frau",25416
"2017","82 Jahre","Frau",25745
"2018","82 Jahre","Frau",25761
"2019","82 Jahre","Frau",25489
"2020","82 Jahre","Frau",26178
"2021","82 Jahre","Frau",26843
"2022","82 Jahre","Frau",27301
"1860","83 Jahre","Frau",652
"1861","83 Jahre","Frau",658
"1862","83 Jahre","Frau",664
"1863","83 Jahre","Frau",670
"1864","83 Jahre","Frau",676
"1865","83 Jahre","Frau",682
"1866","83 Jahre","Frau",688
"1867","83 Jahre","Frau",694
"1868","83 Jahre","Frau",700
"1869","83 Jahre","Frau",706
"1870","83 Jahre","Frau",712
"1871","83 Jahre","Frau",716
"1872","83 Jahre","Frau",721
"1873","83 Jahre","Frau",726
"1874","83 Jahre","Frau",731
"1875","83 Jahre","Frau",736
"1876","83 Jahre","Frau",740
"1877","83 Jahre","Frau",745
"1878","83 Jahre","Frau",750
"1879","83 Jahre","Frau",755
"1880","83 Jahre","Frau",760
"1881","83 Jahre","Frau",773
"1882","83 Jahre","Frau",787
"1883","83 Jahre","Frau",801
"1884","83 Jahre","Frau",815
"1885","83 Jahre","Frau",829
"1886","83 Jahre","Frau",843
"1887","83 Jahre","Frau",857
"1888","83 Jahre","Frau",871
"1889","83 Jahre","Frau",885
"1890","83 Jahre","Frau",899
"1891","83 Jahre","Frau",875
"1892","83 Jahre","Frau",853
"1893","83 Jahre","Frau",914
"1894","83 Jahre","Frau",939
"1895","83 Jahre","Frau",868
"1896","83 Jahre","Frau",939
"1897","83 Jahre","Frau",972
"1898","83 Jahre","Frau",1007
"1899","83 Jahre","Frau",1045
"1900","83 Jahre","Frau",1098
"1901","83 Jahre","Frau",1203
"1902","83 Jahre","Frau",1143
"1903","83 Jahre","Frau",1117
"1904","83 Jahre","Frau",1192
"1905","83 Jahre","Frau",1258
"1906","83 Jahre","Frau",1315
"1907","83 Jahre","Frau",1326
"1908","83 Jahre","Frau",1326
"1909","83 Jahre","Frau",1348
"1910","83 Jahre","Frau",1394
"1911","83 Jahre","Frau",1445
"1912","83 Jahre","Frau",1421
"1913","83 Jahre","Frau",1425
"1914","83 Jahre","Frau",1518
"1915","83 Jahre","Frau",1517
"1916","83 Jahre","Frau",1611
"1917","83 Jahre","Frau",1594
"1918","83 Jahre","Frau",1638
"1919","83 Jahre","Frau",1661
"1920","83 Jahre","Frau",1717
"1921","83 Jahre","Frau",1795
"1922","83 Jahre","Frau",1782
"1923","83 Jahre","Frau",1765
"1924","83 Jahre","Frau",1858
"1925","83 Jahre","Frau",1852
"1926","83 Jahre","Frau",2037
"1927","83 Jahre","Frau",1969
"1928","83 Jahre","Frau",1921
"1929","83 Jahre","Frau",1950
"1930","83 Jahre","Frau",2015
"1931","83 Jahre","Frau",2101
"1932","83 Jahre","Frau",2064
"1933","83 Jahre","Frau",2034
"1934","83 Jahre","Frau",2103
"1935","83 Jahre","Frau",2157
"1936","83 Jahre","Frau",2302
"1937","83 Jahre","Frau",2444
"1938","83 Jahre","Frau",2517
"1939","83 Jahre","Frau",2520
"1940","83 Jahre","Frau",2661
"1941","83 Jahre","Frau",2811
"1942","83 Jahre","Frau",3041
"1943","83 Jahre","Frau",3198
"1944","83 Jahre","Frau",3070
"1945","83 Jahre","Frau",3245
"1946","83 Jahre","Frau",3602
"1947","83 Jahre","Frau",3558
"1948","83 Jahre","Frau",3822
"1949","83 Jahre","Frau",3928
"1950","83 Jahre","Frau",3843
"1951","83 Jahre","Frau",3759
"1952","83 Jahre","Frau",4056
"1953","83 Jahre","Frau",4434
"1954","83 Jahre","Frau",4351
"1955","83 Jahre","Frau",4867
"1956","83 Jahre","Frau",4850
"1957","83 Jahre","Frau",5040
"1958","83 Jahre","Frau",5843
"1959","83 Jahre","Frau",5765
"1960","83 Jahre","Frau",6108
"1961","83 Jahre","Frau",6250
"1962","83 Jahre","Frau",6328
"1963","83 Jahre","Frau",6491
"1964","83 Jahre","Frau",6664
"1965","83 Jahre","Frau",7006
"1966","83 Jahre","Frau",6984
"1967","83 Jahre","Frau",7180
"1968","83 Jahre","Frau",7336
"1969","83 Jahre","Frau",7677
"1970","83 Jahre","Frau",7816
"1971","83 Jahre","Frau",8231
"1972","83 Jahre","Frau",8559
"1973","83 Jahre","Frau",8597
"1974","83 Jahre","Frau",9532
"1975","83 Jahre","Frau",9672
"1976","83 Jahre","Frau",10447
"1977","83 Jahre","Frau",10812
"1978","83 Jahre","Frau",11132
"1979","83 Jahre","Frau",12013
"1980","83 Jahre","Frau",12326
"1981","83 Jahre","Frau",13052
"1982","83 Jahre","Frau",13656
"1983","83 Jahre","Frau",14306
"1984","83 Jahre","Frau",15057
"1985","83 Jahre","Frau",15470
"1986","83 Jahre","Frau",15257
"1987","83 Jahre","Frau",16263
"1988","83 Jahre","Frau",16859
"1989","83 Jahre","Frau",17111
"1990","83 Jahre","Frau",17696
"1991","83 Jahre","Frau",18694
"1992","83 Jahre","Frau",18322
"1993","83 Jahre","Frau",18891
"1994","83 Jahre","Frau",18837
"1995","83 Jahre","Frau",19298
"1996","83 Jahre","Frau",19002
"1997","83 Jahre","Frau",19093
"1998","83 Jahre","Frau",17339
"1999","83 Jahre","Frau",17053
"2000","83 Jahre","Frau",17022
"2001","83 Jahre","Frau",17379
"2002","83 Jahre","Frau",18046
"2003","83 Jahre","Frau",20925
"2004","83 Jahre","Frau",21964
"2005","83 Jahre","Frau",21183
"2006","83 Jahre","Frau",21844
"2007","83 Jahre","Frau",22279
"2008","83 Jahre","Frau",22455
"2009","83 Jahre","Frau",22669
"2010","83 Jahre","Frau",22236
"2011","83 Jahre","Frau",22764
"2012","83 Jahre","Frau",23207
"2013","83 Jahre","Frau",23860
"2014","83 Jahre","Frau",23457
"2015","83 Jahre","Frau",23783
"2016","83 Jahre","Frau",23978
"2017","83 Jahre","Frau",24288
"2018","83 Jahre","Frau",24603
"2019","83 Jahre","Frau",24624
"2020","83 Jahre","Frau",24374
"2021","83 Jahre","Frau",25119
"2022","83 Jahre","Frau",25681
"1860","84 Jahre","Frau",497
"1861","84 Jahre","Frau",501
"1862","84 Jahre","Frau",506
"1863","84 Jahre","Frau",510
"1864","84 Jahre","Frau",515
"1865","84 Jahre","Frau",520
"1866","84 Jahre","Frau",524
"1867","84 Jahre","Frau",529
"1868","84 Jahre","Frau",533
"1869","84 Jahre","Frau",538
"1870","84 Jahre","Frau",543
"1871","84 Jahre","Frau",546
"1872","84 Jahre","Frau",549
"1873","84 Jahre","Frau",552
"1874","84 Jahre","Frau",555
"1875","84 Jahre","Frau",558
"1876","84 Jahre","Frau",561
"1877","84 Jahre","Frau",564
"1878","84 Jahre","Frau",567
"1879","84 Jahre","Frau",570
"1880","84 Jahre","Frau",573
"1881","84 Jahre","Frau",591
"1882","84 Jahre","Frau",610
"1883","84 Jahre","Frau",629
"1884","84 Jahre","Frau",647
"1885","84 Jahre","Frau",666
"1886","84 Jahre","Frau",685
"1887","84 Jahre","Frau",703
"1888","84 Jahre","Frau",722
"1889","84 Jahre","Frau",741
"1890","84 Jahre","Frau",760
"1891","84 Jahre","Frau",711
"1892","84 Jahre","Frau",701
"1893","84 Jahre","Frau",661
"1894","84 Jahre","Frau",702
"1895","84 Jahre","Frau",736
"1896","84 Jahre","Frau",701
"1897","84 Jahre","Frau",788
"1898","84 Jahre","Frau",780
"1899","84 Jahre","Frau",838
"1900","84 Jahre","Frau",849
"1901","84 Jahre","Frau",917
"1902","84 Jahre","Frau",984
"1903","84 Jahre","Frau",914
"1904","84 Jahre","Frau",893
"1905","84 Jahre","Frau",960
"1906","84 Jahre","Frau",1024
"1907","84 Jahre","Frau",1040
"1908","84 Jahre","Frau",1065
"1909","84 Jahre","Frau",1058
"1910","84 Jahre","Frau",1094
"1911","84 Jahre","Frau",1128
"1912","84 Jahre","Frau",1207
"1913","84 Jahre","Frau",1167
"1914","84 Jahre","Frau",1141
"1915","84 Jahre","Frau",1251
"1916","84 Jahre","Frau",1252
"1917","84 Jahre","Frau",1318
"1918","84 Jahre","Frau",1281
"1919","84 Jahre","Frau",1313
"1920","84 Jahre","Frau",1353
"1921","84 Jahre","Frau",1412
"1922","84 Jahre","Frau",1466
"1923","84 Jahre","Frau",1458
"1924","84 Jahre","Frau",1471
"1925","84 Jahre","Frau",1525
"1926","84 Jahre","Frau",1540
"1927","84 Jahre","Frau",1641
"1928","84 Jahre","Frau",1622
"1929","84 Jahre","Frau",1552
"1930","84 Jahre","Frau",1618
"1931","84 Jahre","Frau",1657
"1932","84 Jahre","Frau",1746
"1933","84 Jahre","Frau",1718
"1934","84 Jahre","Frau",1695
"1935","84 Jahre","Frau",1760
"1936","84 Jahre","Frau",1835
"1937","84 Jahre","Frau",1902
"1938","84 Jahre","Frau",2049
"1939","84 Jahre","Frau",2096
"1940","84 Jahre","Frau",2097
"1941","84 Jahre","Frau",2227
"1942","84 Jahre","Frau",2351
"1943","84 Jahre","Frau",2551
"1944","84 Jahre","Frau",2700
"1945","84 Jahre","Frau",2499
"1946","84 Jahre","Frau",2798
"1947","84 Jahre","Frau",2988
"1948","84 Jahre","Frau",3056
"1949","84 Jahre","Frau",3287
"1950","84 Jahre","Frau",3388
"1951","84 Jahre","Frau",3255
"1952","84 Jahre","Frau",3217
"1953","84 Jahre","Frau",3475
"1954","84 Jahre","Frau",3771
"1955","84 Jahre","Frau",3715
"1956","84 Jahre","Frau",4172
"1957","84 Jahre","Frau",4200
"1958","84 Jahre","Frau",4322
"1959","84 Jahre","Frau",5059
"1960","84 Jahre","Frau",5027
"1961","84 Jahre","Frau",5342
"1962","84 Jahre","Frau",5389
"1963","84 Jahre","Frau",5435
"1964","84 Jahre","Frau",5695
"1965","84 Jahre","Frau",5798
"1966","84 Jahre","Frau",6133
"1967","84 Jahre","Frau",6131
"1968","84 Jahre","Frau",6238
"1969","84 Jahre","Frau",6473
"1970","84 Jahre","Frau",6750
"1971","84 Jahre","Frau",6904
"1972","84 Jahre","Frau",7351
"1973","84 Jahre","Frau",7614
"1974","84 Jahre","Frau",7632
"1975","84 Jahre","Frau",8500
"1976","84 Jahre","Frau",8607
"1977","84 Jahre","Frau",9429
"1978","84 Jahre","Frau",9696
"1979","84 Jahre","Frau",10044
"1980","84 Jahre","Frau",10884
"1981","84 Jahre","Frau",11130
"1982","84 Jahre","Frau",11756
"1983","84 Jahre","Frau",12351
"1984","84 Jahre","Frau",13039
"1985","84 Jahre","Frau",13756
"1986","84 Jahre","Frau",14146
"1987","84 Jahre","Frau",14059
"1988","84 Jahre","Frau",14957
"1989","84 Jahre","Frau",15543
"1990","84 Jahre","Frau",15737
"1991","84 Jahre","Frau",16352
"1992","84 Jahre","Frau",17259
"1993","84 Jahre","Frau",17036
"1994","84 Jahre","Frau",17610
"1995","84 Jahre","Frau",17527
"1996","84 Jahre","Frau",17906
"1997","84 Jahre","Frau",17709
"1998","84 Jahre","Frau",17775
"1999","84 Jahre","Frau",16179
"2000","84 Jahre","Frau",15953
"2001","84 Jahre","Frau",16091
"2002","84 Jahre","Frau",16217
"2003","84 Jahre","Frau",16848
"2004","84 Jahre","Frau",19652
"2005","84 Jahre","Frau",20664
"2006","84 Jahre","Frau",19955
"2007","84 Jahre","Frau",20609
"2008","84 Jahre","Frau",21002
"2009","84 Jahre","Frau",21196
"2010","84 Jahre","Frau",21268
"2011","84 Jahre","Frau",21083
"2012","84 Jahre","Frau",21518
"2013","84 Jahre","Frau",22013
"2014","84 Jahre","Frau",22674
"2015","84 Jahre","Frau",22200
"2016","84 Jahre","Frau",22622
"2017","84 Jahre","Frau",22709
"2018","84 Jahre","Frau",23080
"2019","84 Jahre","Frau",23404
"2020","84 Jahre","Frau",23323
"2021","84 Jahre","Frau",23186
"2022","84 Jahre","Frau",23867
"1860","85 Jahre","Frau",378
"1861","85 Jahre","Frau",381
"1862","85 Jahre","Frau",385
"1863","85 Jahre","Frau",389
"1864","85 Jahre","Frau",392
"1865","85 Jahre","Frau",396
"1866","85 Jahre","Frau",400
"1867","85 Jahre","Frau",403
"1868","85 Jahre","Frau",407
"1869","85 Jahre","Frau",411
"1870","85 Jahre","Frau",415
"1871","85 Jahre","Frau",416
"1872","85 Jahre","Frau",418
"1873","85 Jahre","Frau",419
"1874","85 Jahre","Frau",421
"1875","85 Jahre","Frau",423
"1876","85 Jahre","Frau",424
"1877","85 Jahre","Frau",426
"1878","85 Jahre","Frau",427
"1879","85 Jahre","Frau",429
"1880","85 Jahre","Frau",431
"1881","85 Jahre","Frau",445
"1882","85 Jahre","Frau",459
"1883","85 Jahre","Frau",474
"1884","85 Jahre","Frau",488
"1885","85 Jahre","Frau",503
"1886","85 Jahre","Frau",517
"1887","85 Jahre","Frau",531
"1888","85 Jahre","Frau",546
"1889","85 Jahre","Frau",560
"1890","85 Jahre","Frau",575
"1891","85 Jahre","Frau",591
"1892","85 Jahre","Frau",552
"1893","85 Jahre","Frau",520
"1894","85 Jahre","Frau",485
"1895","85 Jahre","Frau",551
"1896","85 Jahre","Frau",587
"1897","85 Jahre","Frau",570
"1898","85 Jahre","Frau",641
"1899","85 Jahre","Frau",641
"1900","85 Jahre","Frau",656
"1901","85 Jahre","Frau",672
"1902","85 Jahre","Frau",756
"1903","85 Jahre","Frau",804
"1904","85 Jahre","Frau",719
"1905","85 Jahre","Frau",693
"1906","85 Jahre","Frau",745
"1907","85 Jahre","Frau",836
"1908","85 Jahre","Frau",831
"1909","85 Jahre","Frau",832
"1910","85 Jahre","Frau",858
"1911","85 Jahre","Frau",835
"1912","85 Jahre","Frau",916
"1913","85 Jahre","Frau",946
"1914","85 Jahre","Frau",941
"1915","85 Jahre","Frau",909
"1916","85 Jahre","Frau",1025
"1917","85 Jahre","Frau",1002
"1918","85 Jahre","Frau",1057
"1919","85 Jahre","Frau",1031
"1920","85 Jahre","Frau",1066
"1921","85 Jahre","Frau",1104
"1922","85 Jahre","Frau",1126
"1923","85 Jahre","Frau",1213
"1924","85 Jahre","Frau",1172
"1925","85 Jahre","Frau",1183
"1926","85 Jahre","Frau",1236
"1927","85 Jahre","Frau",1241
"1928","85 Jahre","Frau",1342
"1929","85 Jahre","Frau",1279
"1930","85 Jahre","Frau",1300
"1931","85 Jahre","Frau",1280
"1932","85 Jahre","Frau",1344
"1933","85 Jahre","Frau",1411
"1934","85 Jahre","Frau",1423
"1935","85 Jahre","Frau",1347
"1936","85 Jahre","Frau",1440
"1937","85 Jahre","Frau",1529
"1938","85 Jahre","Frau",1578
"1939","85 Jahre","Frau",1694
"1940","85 Jahre","Frau",1706
"1941","85 Jahre","Frau",1764
"1942","85 Jahre","Frau",1832
"1943","85 Jahre","Frau",1934
"1944","85 Jahre","Frau",2070
"1945","85 Jahre","Frau",2279
"1946","85 Jahre","Frau",2155
"1947","85 Jahre","Frau",2287
"1948","85 Jahre","Frau",2521
"1949","85 Jahre","Frau",2599
"1950","85 Jahre","Frau",2756
"1951","85 Jahre","Frau",2805
"1952","85 Jahre","Frau",2738
"1953","85 Jahre","Frau",2714
"1954","85 Jahre","Frau",2922
"1955","85 Jahre","Frau",3182
"1956","85 Jahre","Frau",3154
"1957","85 Jahre","Frau",3596
"1958","85 Jahre","Frau",3618
"1959","85 Jahre","Frau",3742
"1960","85 Jahre","Frau",4293
"1961","85 Jahre","Frau",4303
"1962","85 Jahre","Frau",4521
"1963","85 Jahre","Frau",4575
"1964","85 Jahre","Frau",4657
"1965","85 Jahre","Frau",4932
"1966","85 Jahre","Frau",4999
"1967","85 Jahre","Frau",5301
"1968","85 Jahre","Frau",5252
"1969","85 Jahre","Frau",5402
"1970","85 Jahre","Frau",5606
"1971","85 Jahre","Frau",5838
"1972","85 Jahre","Frau",6024
"1973","85 Jahre","Frau",6393
"1974","85 Jahre","Frau",6654
"1975","85 Jahre","Frau",6770
"1976","85 Jahre","Frau",7513
"1977","85 Jahre","Frau",7676
"1978","85 Jahre","Frau",8354
"1979","85 Jahre","Frau",8639
"1980","85 Jahre","Frau",8901
"1981","85 Jahre","Frau",9696
"1982","85 Jahre","Frau",9948
"1983","85 Jahre","Frau",10582
"1984","85 Jahre","Frau",11174
"1985","85 Jahre","Frau",11823
"1986","85 Jahre","Frau",12433
"1987","85 Jahre","Frau",12940
"1988","85 Jahre","Frau",12837
"1989","85 Jahre","Frau",13628
"1990","85 Jahre","Frau",14090
"1991","85 Jahre","Frau",14399
"1992","85 Jahre","Frau",14991
"1993","85 Jahre","Frau",15874
"1994","85 Jahre","Frau",15639
"1995","85 Jahre","Frau",16189
"1996","85 Jahre","Frau",16094
"1997","85 Jahre","Frau",16454
"1998","85 Jahre","Frau",16322
"1999","85 Jahre","Frau",16446
"2000","85 Jahre","Frau",14976
"2001","85 Jahre","Frau",15003
"2002","85 Jahre","Frau",14857
"2003","85 Jahre","Frau",14945
"2004","85 Jahre","Frau",15666
"2005","85 Jahre","Frau",18294
"2006","85 Jahre","Frau",19191
"2007","85 Jahre","Frau",18679
"2008","85 Jahre","Frau",19162
